x y z
-0.438 0.489 10.196
-0.366 0.273 10.039
-0.358 0.203 10.228
-0.324 0.377 9.964
-0.185 0.507 10.053
-0.176 0.580 9.905
-0.113 0.333 9.705
-0.305 0.654 9.983
-0.257 0.596 9.785
-0.425 0.854 10.014
-0.421 0.791 9.811
-0.316 0.775 10.092
-0.190 0.983 10.025
-0.063 0.736 10.017
-0.317 0.577 10.137
-0.421 0.191 10.024
-0.450 0.282 10.204
-0.378 0.376 10.065
-0.217 0.307 10.052
-0.290 0.425 9.935
-0.206 0.263 9.759
-0.218 0.477 9.817
-0.173 0.461 9.835
-0.242 0.561 9.955
-0.379 0.569 9.804
-0.437 0.706 10.080
-0.336 0.848 10.101
-0.152 0.893 10.168
-0.150 0.857 10.119
-0.176 0.666 10.077
-0.409 0.553 10.376
-0.504 0.347 10.145
-0.466 0.331 10.308
-0.249 0.178 10.041
-0.190 0.316 10.155
-0.252 0.410 10.074
-0.214 0.389 9.812
-0.200 0.486 10.006
-0.184 0.575 9.847
-0.288 0.788 10.101
-0.402 0.773 9.959
-0.374 0.659 10.038
-0.376 0.824 10.103
-0.186 0.758 10.020
-0.114 0.686 10.319
-0.191 0.447 10.132
-0.464 0.464 10.288
-0.473 0.331 10.140
-0.430 0.203 10.063
-0.352 0.359 10.029
-0.149 0.330 9.869
-0.137 0.537 9.770
-0.081 0.386 9.718
-0.242 0.567 9.887
-0.397 0.613 9.776
-0.439 0.574 9.775
-0.377 0.834 9.913
-0.166 0.848 10.056
-0.221 1.001 10.137
-0.113 0.738 10.000
-0.300 0.761 10.194
-0.278 0.483 10.101
-0.455 0.359 10.302
-0.540 0.260 10.068
-0.283 0.273 10.185
-0.258 0.459 10.119
-0.018 0.346 9.879
-0.215 0.556 9.963
-0.261 0.411 9.806
-0.388 0.694 10.022
-0.331 0.602 9.777
-0.351 0.620 9.903
-0.391 0.852 10.141
-0.210 0.759 10.071
-0.206 0.892 10.175
-0.184 0.463 10.111
-0.416 0.445 10.375
-0.385 0.279 10.167
-0.374 0.130 10.147
-0.370 0.241 10.205
-0.237 0.218 10.080
-0.235 0.541 10.009
-0.156 0.421 9.757
-0.202 0.567 9.968
-0.263 0.532 9.803
-0.424 0.482 9.912
-0.467 0.617 9.907
-0.227 0.728 10.004
-0.097 0.993 10.060
-0.112 0.970 10.039
-0.251 0.812 10.328
-0.382 0.535 10.037
-0.399 0.414 10.249
-0.318 0.265 10.073
-0.358 0.243 10.257
-0.456 0.352 10.179
-0.235 0.324 9.945
-0.133 0.576 9.974
-0.098 0.422 9.791
-0.337 0.605 9.966
-0.321 0.599 9.815
-0.335 0.592 9.799
-0.421 0.863 10.043
-0.340 0.826 9.975
-0.270 1.011 10.173
-0.073 0.678 9.942
-0.301 0.676 10.212
-0.401 0.517 10.133
-0.437 0.230 10.214
-0.415 0.258 10.096
-0.242 0.279 10.070
-0.245 0.425 10.002
-0.213 0.270 9.811
-0.228 0.392 9.907
-0.192 0.491 9.737
-0.245 0.537 9.897
-0.452 0.631 9.882
-0.415 0.629 10.031
-0.334 0.916 10.064
-0.196 0.833 10.083
-0.129 0.916 10.389
-0.181 0.740 10.194
-0.394 0.531 10.351
-0.522 0.401 10.168
-0.393 0.230 10.321
-0.431 0.370 10.341
-0.233 0.237 10.120
-0.291 0.434 10.089
-0.191 0.361 9.851
-0.179 0.497 10.077
-0.221 0.647 9.853
-0.128 0.432 9.780
-0.413 0.785 9.896
-0.346 0.638 10.048
-0.433 0.991 10.156
-0.233 0.844 10.113
-0.156 0.699 10.307
-0.176 0.595 10.069
-0.234 0.297 10.169
-0.483 0.440 10.303
-0.398 0.101 10.049
-0.417 0.437 10.074
-0.165 0.280 9.878
-0.193 0.544 10.026
-0.135 0.485 9.620
-0.229 0.526 9.799
-0.401 0.541 9.651
-0.403 0.515 9.881
-0.395 0.836 9.894
-0.267 0.810 9.780
-0.208 0.957 10.135
-0.191 0.813 10.054
-0.284 0.749 10.284
-0.311 0.551 10.061
-0.401 0.373 10.300
-0.494 0.311 10.335
-0.458 0.158 10.072
-0.274 0.395 10.186
-0.024 0.433 9.982
-0.182 0.528 9.973
-0.288 0.421 9.827
-0.327 0.449 9.831
-0.382 0.739 9.993
-0.298 0.551 9.857
-0.402 0.850 10.132
-0.190 0.709 10.108
-0.202 0.873 10.298
-0.179 0.801 10.164
-0.252 0.435 10.185
-0.402 0.343 10.187
-0.361 0.112 10.192
-0.360 0.270 10.248
-0.236 0.239 10.058
-0.218 0.332 10.086
-0.224 0.517 9.824
-0.153 0.483 9.937
-0.248 0.589 9.700
-0.352 0.421 9.866
-0.471 0.532 9.820
-0.392 0.630 9.985
-0.169 0.928 10.187
-0.126 0.991 10.015
-0.159 0.736 10.321
-0.401 0.622 9.980
-0.366 0.360 10.251
-0.455 0.544 10.249
-0.318 0.208 10.075
-0.386 0.353 10.244
-0.221 0.348 9.931
-0.158 0.548 10.108
-0.116 0.477 9.752
