A_X[LSB] A_Y[LSB] A_Z[LSB]
-554 1007 16344
-587 1037 16554
-654 1424 16953
-351 1268 16835
-345 1491 17010
-307 774 16902
-696 744 17344
-644 466 16995
-626 217 16963
-618 403 17059
-396 364 16850
-393 905 16731
-260 704 16310
-338 948 16663
-439 889 16388
-709 805 16570
-780 1031 16562
-380 1217 16723
-162 1660 16817
-187 1621 16782
-420 1358 17265
-639 895 16778
-667 692 17133
-532 443 16839
-598 407 17147
-762 588 17016
-393 542 16625
-223 963 16674
-164 705 16367
-564 1012 16659
-537 1001 16407
-560 990 16380
-704 1442 16788
-568 1380 16675
-451 1690 17006
-122 1134 16620
-504 1130 17071
-671 865 16939
-730 385 17074
-693 432 16877
-405 467 16833
-410 711 16720
-356 452 16401
-381 656 16562
-321 820 16277
-410 898 16545
-756 1054 16519
-694 1052 16768
-559 1532 16824
-328 1393 16855
-216 1531 17367
-302 1237 17041
-659 888 17303
-872 671 16997
-657 384 17254
-720 618 17287
-389 396 16918
-487 726 16866
-319 603 16467
-299 831 16845
-370 1082 16471
-214 722 16349
-690 1313 16542
-579 1067 16797
-724 1657 16978
-390 1411 16905
-260 1168 17230
-295 994 16832
-391 497 17000
-807 735 17223
-666 169 16798
-697 731 16841
-276 468 16513
-322 910 16760
-225 810 16081
-382 879 16380
-670 904 16133
-673 861 16518
-661 1397 16540
-446 1354 16349
-348 1599 16943
-319 1359 16807
-475 1252 17192
-520 921 16818
-670 623 17218
-826 520 17276
-765 264 16837
-458 661 17027
-40 723 16687
-305 882 16672
-481 703 16427
-547 750 16434
-639 1236 16705
-498 921 16478
-672 1421 16938
-318 1186 16898
-337 1459 17215
-299 1339 16991
-421 728 17026
-672 574 17029
-604 187 17037
-602 451 17131
-394 400 16813
-364 555 16860
-374 865 16423
-255 807 16612
-414 984 16215
-588 704 16492
-787 889 16416
-656 1053 16692
-283 1552 17030
-211 1657 16742
-266 1230 17253
-671 1040 16684
-612 601 17137
-760 910 17133
-532 347 16842
-646 590 17125
-370 582 16602
-264 916 16898
-194 797 16302
-163 558 16253
-490 1058 16471
-518 995 16438
-733 1376 16820
-623 1393 16576
-356 1570 16973
-277 1522 16896
-191 1088 16995
-580 1005 17008
-503 316 16966
-726 490 16987
-518 377 16920
-460 682 17042
-359 833 16452
-294 608 16495
-479 833 16280
-401 796 16483
-579 1180 16588
-624 1059 16387
-790 1172 17033
-505 1357 16913
-134 1484 17302
-242 1431 16999
-624 823 17173
-880 785 17486
-824 413 17070
-728 701 17274
-416 461 16917
-412 612 16947
-330 642 16523
-363 758 16467
-388 959 16708
-286 774 16385
-536 1341 16902
-568 1178 16771
-801 1578 17055
-500 1262 16921
-184 1132 16810
-258 1059 16996
-426 658 17087
-776 719 17284
-642 325 16856
-625 441 17042
-520 647 16726
-323 679 16683
-250 887 16115
-240 807 16347
-673 970 16278
-759 978 16345
-681 1027 16455
-557 1444 16544
-282 1464 16927
-372 1490 16863
-482 1270 17118
-509 1240 17263
-520 683 16763
-837 582 17336
-812 439 16940
-476 691 17126
-160 776 16650
-75 652 16546
-458 871 16696
-535 788 16519
-640 1220 16745
-517 972 16453
-722 1351 16928
-561 1340 17046
-330 1358 16968
-321 1391 17052
-317 734 17027
-753 700 17157
-677 189 17306
-678 375 17032
-435 385 17025
-344 468 16807
-383 894 16651
-161 679 16477
-444 1124 16347
-342 738 16386
-837 927 16757
-709 929 16650
-388 1448 16840
-192 1700 16675
-90 1188 17116
-583 1388 17251
-569 709 16954
-788 865 17069
-536 433 16873
-532 404 17207
-547 694 16674
-364 647 16726
-363 1029 16581
-116 581 16358
-507 1068 16679
-555 1033 16426
-757 1337 16799
-726 1423 16652
-408 1355 16932
-315 1692 16943
-171 1088 16916
-555 1036 17033
-637 288 16902
-752 446 17206
-688 551 16957
-359 485 16892
-409 799 16549
-380 538 16429
-398 768 16463
-372 805 16291
-412 928 16704
-637 1070 16378
-717 1081 16807
-531 1457 16935
-164 1437 17076
-236 1453 17251
-263 1032 16960
-675 888 17478
-877 573 17024
-752 512 17304
-436 381 16877
-318 386 17057
-422 745 16868
-444 662 16436
-327 837 16867
-235 971 16531
-551 1349 16846
-759 1293 16428
-672 1042 16786
-540 1457 17089
-277 1313 16717
-273 1180 17389
-370 711 17079
-688 486 17225
-770 586 16892
-696 376 16993
-500 598 16909
-244 598 16480
-180 826 16388
-283 901 16109
-358 899 16670
-702 958 16156
-710 896 16393
-683 1453 16562
-202 1378 16805
-392 1667 16937
-279 1271 16732
-467 1244 17160
-470 829 16927
-745 602 17241
-829 504 16979
-526 244 16850
-385 776 17095
-21 619 16498
-388 896 16820
-538 699 16424
-590 1086 16824
-457 1236 16721
-480 1023 16619
-729 1420 17022
-434 1234 16965
-336 1478 17097
-302 947 16968
-627 822 17079
-724 479 17055
-673 179 17024
-560 522 17188
-420 375 16836
-435 879 16861
-205 761 16410
-244 869 16682
-463 927 16384
-774 717 16515
-783 924 16568
-326 1252 16650
-198 1633 17167
-264 1622 16775
-420 1247 17276
-592 971 16740
-627 687 17069
-680 475 16953
-596 298 16887
-681 621 17111
-284 620 16682
-342 948 16841
-294 780 16402
-434 986 16657
-445 1041 16533
-545 1073 16465
-815 1402 16878
-652 1392 16650
-394 1668 16972
-158 1158 16700
-533 1078 17057
-694 939 16978
-658 315 17010
-728 433 17009
-448 412 16865
-373 723 16795
-329 554 16502
-338 552 16562
-518 821 16386
-412 769 16488
-628 1122 16556
-672 1053 16720
-691 1376 17161
-458 1317 16843
-211 1519 17285
-243 1311 17118
-574 793 17147
-905 575 17075
-663 224 17214
-726 601 17370
-347 436 17023
-388 578 16893
-317 645 16571
-326 896 16996
-421 1145 16729
-230 737 16428
-669 1334 16789
-631 1168 16879
-829 1593 17098
-433 1450 16949
-168 1187 16733
-301 1076 17069
-349 531 17035
-837 705 17157
-651 240 16826
-648 630 16998
-295 456 16725
-281 731 16703
-319 841 16171
-348 772 16394
-641 906 16323
-689 862 16489
-745 1367 16483
-576 1430 16395
-281 1497 17038
-297 1428 16895
-435 1258 17218
-542 1009 16911
-570 601 16836
-825 584 17326
-774 322 16980
-434 608 17202
-96 879 16700
-197 768 16894
-564 749 16687
-582 681 16602
-629 1203 16821
-391 1025 16437
-659 1361 17104
-464 1227 16873
-342 1473 17008
-274 1425 17095
-274 744 16988
-708 679 17183
-683 213 17074
-671 525 17222
-484 450 16895
-368 444 16871
-368 859 16620
-174 751 16426
-482 1064 16376
-543 532 16467
-816 857 16528
-683 976 16672
-354 1478 17028
-163 1664 16753
-222 1235 17173
-649 1109 16788
-588 568 17081
-747 849 17153
-605 357 16861
-615 533 17276
-412 591 16717
-319 943 17020
-329 882 16414
-153 570 16349
-457 1066 16659
-468 1026 16519
-744 1371 16847
-649 1408 16499
-352 1510 17047
-356 1644 16934
-199 1143 16881
-532 1055 17087
-603 277 16835
-804 510 17248
-461 280 16971
-398 471 16965
-350 787 16573
-311 548 16505
-499 708 16403
-424 784 16407
-549 1112 16687
-607 1078 16408
-737 1127 17052
-571 1392 16912
-122 1507 17182
