W (17037) main: 2,448, us,,,,,,,,,,,,,,,,,,,
W (18037) main: 2,474, us,,,,,,,,,,,,,,,,,,,
W (19037) main: 2,458, us,,,,,,,,,,,,,,,,,,,
W (20037) main: 2,601, us,,,,,,,,,,,,,,,,,,,
W (4037) main: 2,556, us,,,,,,,,,,,,,,,,,,,
W (5037) main: 2,432, us,,,,,,,,,,,,,,,,,,,
W (6037) main: 2,450, us,,,,,,,,,,,,,,,,,,,
W (7037) main: 2,393, us,,,,,,,,,,,,,,,,,,,
W (8037) main: 2,391, us,,,,,,,,,,,,,,,,,,,
W (9037) main: 2,391, us,,,,,,,,,,,,,,,,,,,
W (10037) main: 2,445, us,,,,,,,,,,,,,,,,,,,
W (11037) main: 2,390, us,,,,,,,,,,,,,,,,,,,
W (12037) main: 2,394, us,,,,,,,,,,,,,,,,,,,
W (13037) main: 2,392, us,,,,,,,,,,,,,,,,,,,
W (14037) main: 2,1227, us,,,,,,,,,,,,,,,,,,,
W (15037) main: 2,392, us,,,,,,,,,,,,,,,,,,,
W (16037) main: 2,394, us,,,,,,,,,,,,,,,,,,,
W (17037) main: 2,391, us,,,,,,,,,,,,,,,,,,,
W (18037) main: 2,500, us,,,,,,,,,,,,,,,,,,,
W (4037) main: 2,585, us,,,,,,,,,,,,,,,,,,,
W (5037) main: 2,449, us,,,,,,,,,,,,,,,,,,,
W (6037) main: 2,472, us,,,,,,,,,,,,,,,,,,,
W (7037) main: 2,408, us,,,,,,,,,,,,,,,,,,,
W (8037) main: 2,410, us,,,,,,,,,,,,,,,,,,,
W (9037) main: 2,435, us,,,,,,,,,,,,,,,,,,,
W (10037) main: 2,464, us,,,,,,,,,,,,,,,,,,,
W (11037) main: 2,399, us,,,,,,,,,,,,,,,,,,,
W (12037) main: 2,409, us,,,,,,,,,,,,,,,,,,,
W (13037) main: 2,423, us,,,,,,,,,,,,,,,,,,,
W (14037) main: 2,407, us,,,,,,,,,,,,,,,,,,,
W (15037) main: 2,439, us,,,,,,,,,,,,,,,,,,,
W (16037) main: 2,411, us,,,,,,,,,,,,,,,,,,,
W (17037) main: 2,517, us,,,,,,,,,,,,,,,,,,,
W (4041) main: 2,1600, us,,,,,,,,,,,,,,,,,,,
W (5041) main: 2,1473, us,,,,,,,,,,,,,,,,,,,
W (6041) main: 2,2406, us,,,,,,,,,,,,,,,,,,,
W (7041) main: 2,1433, us,,,,,,,,,,,,,,,,,,,
W (8041) main: 2,1420, us,,,,,,,,,,,,,,,,,,,
W (9041) main: 2,1428, us,,,,,,,,,,,,,,,,,,,
W (10051) main: 2,7018, us,,,,,,,,,,,,,,,,,,,
W (11041) main: 2,1515, us,,,,,,,,,,,,,,,,,,,
W (12041) main: 2,1433, us,,,,,,,,,,,,,,,,,,,
W (13041) main: 2,1435, us,,,,,,,,,,,,,,,,,,,
W (14041) main: 2,1442, us,,,,,,,,,,,,,,,,,,,
W (15041) main: 2,1450, us,,,,,,,,,,,,,,,,,,,
W (16041) main: 2,1435, us,,,,,,,,,,,,,,,,,,,
W (17041) main: 2,1527, us,,,,,,,,,,,,,,,,,,,
W (4061) main: 2,1148, us,,,,,,,,,,,,,,,,,,,
W (5061) main: 2,1015, us,,,,,,,,,,,,,,,,,,,
W (6061) main: 2,1012, us,,,,,,,,,,,,,,,,,,,
W (7061) main: 2,993, us,,,,,,,,,,,,,,,,,,,
W (8061) main: 2,980, us,,,,,,,,,,,,,,,,,,,
W (9061) main: 2,986, us,,,,,,,,,,,,,,,,,,,
W (10061) main: 2,1002, us,,,,,,,,,,,,,,,,,,,
W (11061) main: 2,981, us,,,,,,,,,,,,,,,,,,,
W (12061) main: 2,1013, us,,,,,,,,,,,,,,,,,,,
W (13061) main: 2,984, us,,,,,,,,,,,,,,,,,,,
W (14061) main: 2,978, us,,,,,,,,,,,,,,,,,,,
W (15061) main: 2,972, us,,,,,,,,,,,,,,,,,,,
W (16061) main: 2,983, us,,,,,,,,,,,,,,,,,,,
W (17061) main: 2,979, us,,,,,,,,,,,,,,,,,,,
W (18061) main: 2,1070, us,,,,,,,,,,,,,,,,,,,
W (4041) main: 2,1189, us,,,,,,,,,,,,,,,,,,,
W (5041) main: 2,1065, us,,,,,,,,,,,,,,,,,,,
W (6041) main: 2,1042, us,,,,,,,,,,,,,,,,,,,
W (7041) main: 2,1076, us,,,,,,,,,,,,,,,,,,,
W (8041) main: 2,1018, us,,,,,,,,,,,,,,,,,,,
