W (10037) main: 2,131, us,,,,,,,,,,,,,,,,,,,
W (10037) main: 1,120, us,,,,,,,,,,,,,,,,,,,
W (10037) main: 0,527, us,,,,,,,,,,,,,,,,,,,
W (11037) main: 2,131, us,,,,,,,,,,,,,,,,,,,
W (11037) main: 1,116, us,,,,,,,,,,,,,,,,,,,
W (11037) main: 0,479, us,,,,,,,,,,,,,,,,,,,
W (12037) main: 2,172, us,,,,,,,,,,,,,,,,,,,
W (12037) main: 1,116, us,,,,,,,,,,,,,,,,,,,
W (12037) main: 0,548, us,,,,,,,,,,,,,,,,,,,
W (13037) main: 2,131, us,,,,,,,,,,,,,,,,,,,
W (13037) main: 1,112, us,,,,,,,,,,,,,,,,,,,
W (13037) main: 0,478, us,,,,,,,,,,,,,,,,,,,
W (14037) main: 2,251, us,,,,,,,,,,,,,,,,,,,
W (14037) main: 1,128, us,,,,,,,,,,,,,,,,,,,
W (14037) main: 0,659, us,,,,,,,,,,,,,,,,,,,
W (15037) main: 2,377, us,,,,,,,,,,,,,,,,,,,
W (15037) main: 0,924, us,,,,,,,,,,,,,,,,,,,
W (15037) main: 1,125, us,,,,,,,,,,,,,,,,,,,
W (4061) main: 2,2046, us,,,,,,,,,,,,,,,,,,,
W (4061) main: 0,2086, us,,,,,,,,,,,,,,,,,,,
W (4061) main: 1,1126, us,,,,,,,,,,,,,,,,,,,
W (5061) main: 2,1115, us,,,,,,,,,,,,,,,,,,,
W (5061) main: 0,1520, us,,,,,,,,,,,,,,,,,,,
W (5061) main: 1,1124, us,,,,,,,,,,,,,,,,,,,
W (6061) main: 2,1116, us,,,,,,,,,,,,,,,,,,,
W (6061) main: 0,1498, us,,,,,,,,,,,,,,,,,,,
W (6061) main: 1,1119, us,,,,,,,,,,,,,,,,,,,
W (7061) main: 2,5717, us,,,,,,,,,,,,,,,,,,,
W (7071) main: 0,9436, us,,,,,,,,,,,,,,,,,,,
W (7071) main: 1,8498, us,,,,,,,,,,,,,,,,,,,
W (8061) main: 2,1439, us,,,,,,,,,,,,,,,,,,,
W (8061) main: 0,1715, us,,,,,,,,,,,,,,,,,,,
W (8061) main: 1,1115, us,,,,,,,,,,,,,,,,,,,
W (9061) main: 2,1114, us,,,,,,,,,,,,,,,,,,,
W (9061) main: 0,6846, us,,,,,,,,,,,,,,,,,,,
W (9071) main: 1,7499, us,,,,,,,,,,,,,,,,,,,
W (10061) main: 2,1477, us,,,,,,,,,,,,,,,,,,,
W (10061) main: 0,2625, us,,,,,,,,,,,,,,,,,,,
W (10061) main: 1,1118, us,,,,,,,,,,,,,,,,,,,
W (11061) main: 2,1116, us,,,,,,,,,,,,,,,,,,,
W (11061) main: 0,1461, us,,,,,,,,,,,,,,,,,,,
W (11061) main: 1,1123, us,,,,,,,,,,,,,,,,,,,
W (12061) main: 2,1115, us,,,,,,,,,,,,,,,,,,,
W (12061) main: 0,1461, us,,,,,,,,,,,,,,,,,,,
W (12061) main: 1,1125, us,,,,,,,,,,,,,,,,,,,
W (13061) main: 2,1114, us,,,,,,,,,,,,,,,,,,,
W (13061) main: 0,1464, us,,,,,,,,,,,,,,,,,,,
W (13061) main: 1,1120, us,,,,,,,,,,,,,,,,,,,
W (14061) main: 2,1239, us,,,,,,,,,,,,,,,,,,,
W (14061) main: 0,1561, us,,,,,,,,,,,,,,,,,,,
W (14061) main: 1,1122, us,,,,,,,,,,,,,,,,,,,
W (15061) main: 2,1116, us,,,,,,,,,,,,,,,,,,,
W (15061) main: 0,1462, us,,,,,,,,,,,,,,,,,,,
W (15061) main: 1,1120, us,,,,,,,,,,,,,,,,,,,
W (16061) main: 2,1115, us,,,,,,,,,,,,,,,,,,,
W (16061) main: 0,1461, us,,,,,,,,,,,,,,,,,,,
W (16061) main: 1,1122, us,,,,,,,,,,,,,,,,,,,
W (17061) main: 2,1666, us,,,,,,,,,,,,,,,,,,,
W (17061) main: 0,1874, us,,,,,,,,,,,,,,,,,,,
W (17061) main: 1,1122, us,,,,,,,,,,,,,,,,,,,
W (4061) main: 2,1599, us,,,,,,,,,,,,,,,,,,,
W (4061) main: 0,1640, us,,,,,,,,,,,,,,,,,,,
W (4061) main: 1,712, us,,,,,,,,,,,,,,,,,,,
W (5061) main: 2,712, us,,,,,,,,,,,,,,,,,,,
W (5061) main: 0,1103, us,,,,,,,,,,,,,,,,,,,
W (5061) main: 1,722, us,,,,,,,,,,,,,,,,,,,
W (6061) main: 2,716, us,,,,,,,,,,,,,,,,,,,
W (6061) main: 0,1081, us,,,,,,,,,,,,,,,,,,,
W (6061) main: 1,722, us,,,,,,,,,,,,,,,,,,,
W (7061) main: 2,715, us,,,,,,,,,,,,,,,,,,,
W (7061) main: 0,1052, us,,,,,,,,,,,,,,,,,,,
W (7061) main: 1,3635, us,,,,,,,,,,,,,,,,,,,
W (8061) main: 2,1055, us,,,,,,,,,,,,,,,,,,,
W (8061) main: 1,713, us,,,,,,,,,,,,,,,,,,,
W (8061) main: 0,6893, us,,,,,,,,,,,,,,,,,,,
W (9061) main: 2,902, us,,,,,,,,,,,,,,,,,,,
W (9061) main: 0,1289, us,,,,,,,,,,,,,,,,,,,
W (9061) main: 1,722, us,,,,,,,,,,,,,,,,,,,
W (10061) main: 2,711, us,,,,,,,,,,,,,,,,,,,
W (10061) main: 0,1074, us,,,,,,,,,,,,,,,,,,,
W (10061) main: 1,3427, us,,,,,,,,,,,,,,,,,,,
W (11061) main: 1,817, us,,,,,,,,,,,,,,,,,,,
W (11061) main: 2,5357, us,,,,,,,,,,,,,,,,,,,
W (11071) main: 0,8284, us,,,,,,,,,,,,,,,,,,,
W (12061) main: 0,1299, us,,,,,,,,,,,,,,,,,,,
W (12061) main: 2,4715, us,,,,,,,,,,,,,,,,,,,
W (12061) main: 1,3721, us,,,,,,,,,,,,,,,,,,,
W (13061) main: 2,1020, us,,,,,,,,,,,,,,,,,,,
W (13061) main: 0,1327, us,,,,,,,,,,,,,,,,,,,
W (13061) main: 1,720, us,,,,,,,,,,,,,,,,,,,
W (14061) main: 1,932, us,,,,,,,,,,,,,,,,,,,
W (14061) main: 2,4954, us,,,,,,,,,,,,,,,,,,,
W (14071) main: 0,8664, us,,,,,,,,,,,,,,,,,,,
W (15061) main: 2,1012, us,,,,,,,,,,,,,,,,,,,
W (15061) main: 1,720, us,,,,,,,,,,,,,,,,,,,
W (15061) main: 0,6716, us,,,,,,,,,,,,,,,,,,,
W (16061) main: 2,829, us,,,,,,,,,,,,,,,,,,,
W (16061) main: 0,6366, us,,,,,,,,,,,,,,,,,,,
W (16071) main: 1,7084, us,,,,,,,,,,,,,,,,,,,
W (17061) main: 0,1502, us,,,,,,,,,,,,,,,,,,,
W (17061) main: 1,683, us,,,,,,,,,,,,,,,,,,,
W (4041) main: 2,1742, us,,,,,,,,,,,,,,,,,,,
W (4041) main: 0,1787, us,,,,,,,,,,,,,,,,,,,
W (4041) main: 1,761, us,,,,,,,,,,,,,,,,,,,
W (5041) main: 2,789, us,,,,,,,,,,,,,,,,,,,
W (5041) main: 1,763, us,,,,,,,,,,,,,,,,,,,
W (5041) main: 0,2094, us,,,,,,,,,,,,,,,,,,,
W (6041) main: 2,822, us,,,,,,,,,,,,,,,,,,,
W (6041) main: 0,1220, us,,,,,,,,,,,,,,,,,,,
W (6041) main: 1,766, us,,,,,,,,,,,,,,,,,,,
W (7041) main: 2,755, us,,,,,,,,,,,,,,,,,,,
W (7041) main: 0,1116, us,,,,,,,,,,,,,,,,,,,
W (7041) main: 1,772, us,,,,,,,,,,,,,,,,,,,
W (8041) main: 2,849, us,,,,,,,,,,,,,,,,,,,
W (8041) main: 0,1167, us,,,,,,,,,,,,,,,,,,,
W (8041) main: 1,751, us,,,,,,,,,,,,,,,,,,,
W (9041) main: 2,752, us,,,,,,,,,,,,,,,,,,,
W (9041) main: 0,1108, us,,,,,,,,,,,,,,,,,,,
W (9041) main: 1,756, us,,,,,,,,,,,,,,,,,,,
W (10041) main: 2,746, us,,,,,,,,,,,,,,,,,,,
W (10041) main: 0,1132, us,,,,,,,,,,,,,,,,,,,
W (10041) main: 1,755, us,,,,,,,,,,,,,,,,,,,
W (11041) main: 2,750, us,,,,,,,,,,,,,,,,,,,
W (11041) main: 0,1102, us,,,,,,,,,,,,,,,,,,,
W (11041) main: 1,756, us,,,,,,,,,,,,,,,,,,,
W (12041) main: 2,753, us,,,,,,,,,,,,,,,,,,,
W (12041) main: 0,1109, us,,,,,,,,,,,,,,,,,,,
W (12041) main: 1,759, us,,,,,,,,,,,,,,,,,,,
W (13041) main: 2,754, us,,,,,,,,,,,,,,,,,,,
W (13041) main: 0,1110, us,,,,,,,,,,,,,,,,,,,
W (13041) main: 1,763, us,,,,,,,,,,,,,,,,,,,
W (14041) main: 2,762, us,,,,,,,,,,,,,,,,,,,
W (14041) main: 0,1106, us,,,,,,,,,,,,,,,,,,,
W (14041) main: 1,768, us,,,,,,,,,,,,,,,,,,,
W (15041) main: 2,838, us,,,,,,,,,,,,,,,,,,,
W (15041) main: 0,1242, us,,,,,,,,,,,,,,,,,,,
W (15041) main: 1,767, us,,,,,,,,,,,,,,,,,,,
W (16041) main: 2,756, us,,,,,,,,,,,,,,,,,,,
W (16041) main: 0,1110, us,,,,,,,,,,,,,,,,,,,
W (16041) main: 1,758, us,,,,,,,,,,,,,,,,,,,
W (17041) main: 2,965, us,,,,,,,,,,,,,,,,,,,
W (17041) main: 0,1438, us,,,,,,,,,,,,,,,,,,,
W (17041) main: 1,753, us,,,,,,,,,,,,,,,,,,,
W (4106) main: 1,5253, us,,,,,,,,,,,,,,,,,,,
W (4106) main: 0,6449, us,,,,,,,,,,,,,,,,,,,
W (4116) main: 2,11021, us,,,,,,,,,,,,,,,,,,,
W (5116) main: 0,5126, us,,,,,,,,,,,,,,,,,,,
W (5116) main: 2,9173, us,,,,,,,,,,,,,,,,,,,
W (5116) main: 1,4612, us,,,,,,,,,,,,,,,,,,,
W (6126) main: 0,5085, us,,,,,,,,,,,,,,,,,,,
W (6126) main: 1,4563, us,,,,,,,,,,,,,,,,,,,
W (6126) main: 2,9317, us,,,,,,,,,,,,,,,,,,,
W (7136) main: 0,10902, us,,,,,,,,,,,,,,,,,,,
W (7146) main: 1,11396, us,,,,,,,,,,,,,,,,,,,
W (7146) main: 2,14522, us,,,,,,,,,,,,,,,,,,,
W (8146) main: 2,5065, us,,,,,,,,,,,,,,,,,,,
W (8156) main: 0,11090, us,,,,,,,,,,,,,,,,,,,
W (8156) main: 1,7417, us,,,,,,,,,,,,,,,,,,,
W (9166) main: 0,5354, us,,,,,,,,,,,,,,,,,,,
W (9166) main: 1,4524, us,,,,,,,,,,,,,,,,,,,
W (9166) main: 2,12739, us,,,,,,,,,,,,,,,,,,,
W (10176) main: 0,5379, us,,,,,,,,,,,,,,,,,,,
